student_id,attendance_rate,avg_quiz_score,assignment_completion_rate,study_hours_per_week,lms_logins_per_week,final_exam_score,course_result
S001,0.8027091604506486,69.57934959535874,0.7599631449178208,10.807934900395452,8,64.8,pass
S002,0.7939649579025766,73.62238701381197,0.8218135926432097,12.654234746396572,12,82.2,pass
S003,0.8495610634253442,90.35513158085668,0.7874982355026091,7.574706824916863,11,69.9,pass
S004,0.9248085262455336,68.6311845828281,0.8477879745638238,8.992853797313657,12,72.7,pass
S005,0.5056065493337377,63.503529805206966,0.615154191657721,11.504048972225625,12,55.6,pass
S006,0.8096507384396459,67.88540310860856,0.8005955743429658,11.274545246175068,12,80.9,pass
S007,0.7447617441736479,61.956804686567914,0.6954057106555175,9.997305601907126,8,85.6,pass
S008,0.9122168218563635,91.90589973880851,0.8710246843510668,11.343269383870693,15,90.0,pass
S009,0.9343474908779892,51.788502314903965,0.786035637741707,9.012949437368247,8,78.4,pass
S010,0.8943961321327762,63.46835157899713,0.6788764333798745,4.673675595031973,13,66.2,pass
S011,0.7331844411218311,67.88878850935194,0.44856847219129514,3.670085523845147,7,60.2,pass
S012,0.8513637135039763,74.35157115966125,0.9752534004216487,11.573420794952826,10,77.1,pass
S013,0.9672329859657064,71.58130770246301,1,6.564494638712709,15,85.0,pass
S014,0.8018763338153395,91.92649436634058,0.9269474093906511,10.755535457064012,0,85.1,pass
S015,0.7447138760583524,71.96765367460986,1,3.7795972023107023,7,79.4,pass
S016,,54.62194872710026,0.8195901774270024,3.1615296121054612,13,67.0,pass
S017,0.9838827388519298,53.75430439595691,0.7580149181660643,9.292582616056412,16,67.5,pass
S018,1,81.97339725310209,0.7893728133187107,5.913401398327363,4,78.7,pass
S019,0.7466770206418183,76.48548583287157,0.4975797444583687,6.418149686695286,10,71.4,pass
S020,0.6859306145126935,78.40990559288156,0.8730576777144828,9.96663337135308,6,81.9,pass
S021,0.9728887888113337,80.52981248792192,0.8315728850367188,16.611180940402097,10,90.8,pass
S022,0.8342454984264159,79.27128717194897,0.9952316592597894,5.948565559092682,2,76.7,pass
S023,0.92453036572509,80.50594327778398,0.600901364112105,10.072873776084812,8,67.4,pass
S024,0.7305660520972158,79.32123821655448,0.8678567889946283,5.689851264222808,11,80.0,pass
S025,0.8203306900577568,100,0.44478546525992635,10.78113572562585,8,76.4,pass
S026,1,65.80992848421035,0.8430921674426597,6.036609993300434,6,76.0,pass
S027,0.5673966558731003,100,0.7499405564193699,14.971622024935971,5,80.7,pass
S028,0.6405640272270081,64.34886650528703,0.865047916918069,10.773360160245185,14,72.0,pass
S029,0.9688267233762109,78.51927714439807,0.4277510186324994,7.859793953247375,15,91.0,pass
S030,0.6711753198417125,60.19459976445493,0.7884448543511099,10.012790963254115,11,66.5,pass
S031,0.6811630726888286,81.0077285586959,0.3637894009117812,6.666887897562026,11,73.5,pass
S032,0.7721195113862689,61.57834418855073,0.6586092530812562,14.109343127607328,13,80.1,pass
S033,0.8944419581234562,76.30628173581916,0.7400605757776513,17.26468539108607,15,80.9,pass
S034,0.9139819858050456,53.12174102261268,0.3739989143360755,0.37453212495287147,9,54.2,pass
S035,0.6730914788912725,43.677369193889106,0.8392537245745386,9.480215833951107,13,72.7,pass
S036,0.803635970616814,62.74829059154699,0.6862958802053578,5.660753421178425,0,63.0,pass
S037,0.7343390235896302,77.20525354097387,1,8.153020610019926,7,71.9,pass
S038,0.8049687174162304,72.85655170071493,1,11.7738950564535,13,79.6,pass
S039,0.8574352836029043,77.86232164586403,0.6420463051087975,15.997519220645959,11,71.1,pass
S040,0.8201651458979562,78.52070707279856,0.8502958801160776,0,4,70.3,pass
S041,1,43.222487535173286,0.9185067817685612,0.33483919553958597,15,70.9,pass
